Date,Close
27/12/2023,4833.5
28/12/2023,4832.25
29/12/2023,4820
02/01/2024,4787.25
03/01/2024,4746.5
04/01/2024,4729.5
05/01/2024,4734.75
08/01/2024,4801.25
09/01/2024,4792.75
10/01/2024,4820.25
11/01/2024,4815.5
12/01/2024,4816.5
16/01/2024,4798.5
17/01/2024,4771.25
18/01/2024,4811.25
19/01/2024,4869.5
22/01/2024,4881
23/01/2024,4895
24/01/2024,4898
25/01/2024,4923.25
26/01/2024,4916.25
29/01/2024,4954.5
30/01/2024,4951
31/01/2024,4870.5
01/02/2024,4928.5
02/02/2024,4980.25
05/02/2024,4962
06/02/2024,4974.75
07/02/2024,5015.25
08/02/2024,5017.75
09/02/2024,5044
12/02/2024,5041.25
13/02/2024,4971.25
14/02/2024,5018
15/02/2024,5046.5
16/02/2024,5019.75
20/02/2024,4991.5
21/02/2024,4996.25
22/02/2024,5097.75
23/02/2024,5101.5
26/02/2024,5080.25
27/02/2024,5090
28/02/2024,5081
29/02/2024,5103.75
01/03/2024,5146
04/03/2024,5138.25
05/03/2024,5085.75
06/03/2024,5111.75
07/03/2024,5161.75
08/03/2024,5129
11/03/2024,5123
12/03/2024,5177.25
13/03/2024,5168
14/03/2024,5153.75
15/03/2024,5101.67
18/03/2024,5214.75
19/03/2024,5241.75
20/03/2024,5286.75
21/03/2024,5302.5
22/03/2024,5293.25
25/03/2024,5278.25
26/03/2024,5265.25
27/03/2024,5308.25
28/03/2024,5308.5
01/04/2024,5295.25
02/04/2024,5260.5
03/04/2024,5266.5
04/04/2024,5197.25
05/04/2024,5253
08/04/2024,5253.25
09/04/2024,5260.25
10/04/2024,5207.75
11/04/2024,5243.25
12/04/2024,5167.5
15/04/2024,5104
16/04/2024,5092.5
17/04/2024,5062.25
18/04/2024,5049
19/04/2024,5003.75
22/04/2024,5047.5
23/04/2024,5106.5
24/04/2024,5107.5
25/04/2024,5082.25
26/04/2024,5131.5
29/04/2024,5147
30/04/2024,5067
01/05/2024,5046.5
02/05/2024,5091.5
03/05/2024,5154.75
06/05/2024,5206.5
07/05/2024,5213.75
08/05/2024,5212.75
09/05/2024,5239
10/05/2024,5246.25
13/05/2024,5245.5
14/05/2024,5269.5
15/05/2024,5333
16/05/2024,5320.25
17/05/2024,5327.25
20/05/2024,5331.75
21/05/2024,5345.25
22/05/2024,5328
23/05/2024,5285.25
24/05/2024,5321.5
28/05/2024,5324.75
29/05/2024,5284
30/05/2024,5253
31/05/2024,5295.5
03/06/2024,5297.25
04/06/2024,5304
05/06/2024,5366
06/06/2024,5364
07/06/2024,5355.75
10/06/2024,5371.25
11/06/2024,5384
12/06/2024,5427.5
13/06/2024,5438.5
14/06/2024,5437.5
17/06/2024,5478.5
18/06/2024,5491
20/06/2024,5476.75
21/06/2024,5471.89
24/06/2024,5517
25/06/2024,5537
26/06/2024,5543.5
27/06/2024,5546
28/06/2024,5521.5
01/07/2024,5533.75
02/07/2024,5568.75
03/07/2024,5590.25
05/07/2024,5621.5
08/07/2024,5625.25
09/07/2024,5631.25
10/07/2024,5688
11/07/2024,5639.75
12/07/2024,5664.75
15/07/2024,5683
16/07/2024,5717.25
17/07/2024,5639
18/07/2024,5594.5
19/07/2024,5553.75
22/07/2024,5610.75
23/07/2024,5599.25
24/07/2024,5472
25/07/2024,5441.25
26/07/2024,5499
29/07/2024,5503
30/07/2024,5472.5
31/07/2024,5558
01/08/2024,5480.25
02/08/2024,5376
05/08/2024,5217.5
06/08/2024,5266.25
07/08/2024,5227.5
08/08/2024,5348.25
09/08/2024,5370.25
12/08/2024,5369.75
13/08/2024,5459
14/08/2024,5477
15/08/2024,5567.5
16/08/2024,5578.25
19/08/2024,5630
20/08/2024,5619.75
21/08/2024,5641.5
22/08/2024,5594
23/08/2024,5652.5
26/08/2024,5637
27/08/2024,5644.75
28/08/2024,5610.25
29/08/2024,5610
30/08/2024,5661
03/09/2024,5541.75
04/09/2024,5530
05/09/2024,5512.25
06/09/2024,5419.5
09/09/2024,5479.5
10/09/2024,5504
11/09/2024,5561.25
12/09/2024,5602.25
13/09/2024,5629.75
16/09/2024,5638
17/09/2024,5639
18/09/2024,5620.75
19/09/2024,5717.75
20/09/2024,5699.99
23/09/2024,5776.75
24/09/2024,5792
25/09/2024,5779
26/09/2024,5804.5
27/09/2024,5791.25
30/09/2024,5814.25
01/10/2024,5759.75
02/10/2024,5760.25
03/10/2024,5749.5
04/10/2024,5800
07/10/2024,5744.75
08/10/2024,5800.5
09/10/2024,5841.25
